Temperature (Celsius),Resistance (ohms),Sensitivity (ohms-per-degree)
-190.20000000000056,22.7397,0.4289
-190.10000000000056,22.7826,0.4288
-190.00000000000057,22.8255,0.4288
-189.90000000000057,22.8684,0.4287
-189.80000000000058,22.9112,0.4287
-189.70000000000059,22.9541,0.4287
-189.6000000000006,22.9970,0.4286
-189.5000000000006,23.0398,0.4286
-189.4000000000006,23.0827,0.4286
-189.3000000000006,23.1255,0.4285
-189.2000000000006,23.1684,0.4285
-189.10000000000062,23.2112,0.4285
-189.00000000000063,23.2541,0.4284
-188.90000000000063,23.2969,0.4284
-188.80000000000064,23.3398,0.4284
-188.70000000000064,23.3826,0.4283
-188.60000000000065,23.4254,0.4283
-188.50000000000065,23.4683,0.4283
-188.40000000000066,23.5111,0.4282
-188.30000000000067,23.5539,0.4282
-188.20000000000067,23.5967,0.4282
-188.10000000000068,23.6395,0.4281
-188.00000000000068,23.6824,0.4281
-187.9000000000007,23.7252,0.4281
-187.8000000000007,23.7680,0.4280
-187.7000000000007,23.8108,0.4280
-187.6000000000007,23.8536,0.4280
-187.5000000000007,23.8964,0.4279
-187.40000000000072,23.9392,0.4279
-187.30000000000072,23.9819,0.4279
-187.20000000000073,24.0247,0.4278
-187.10000000000073,24.0675,0.4278
-187.00000000000074,24.1103,0.4278
-186.90000000000074,24.1531,0.4277
-186.80000000000075,24.1958,0.4277
-186.70000000000076,24.2386,0.4277
-186.60000000000076,24.2814,0.4276
-186.50000000000077,24.3241,0.4276
-186.40000000000077,24.3669,0.4276
-186.30000000000078,24.4096,0.4275
-186.20000000000078,24.4524,0.4275
-186.1000000000008,24.4951,0.4275
-186.0000000000008,24.5379,0.4274
-185.9000000000008,24.5806,0.4274
-185.8000000000008,24.6234,0.4274
-185.7000000000008,24.6661,0.4273
-185.60000000000082,24.7088,0.4273
-185.50000000000082,24.7515,0.4273
-185.40000000000083,24.7943,0.4272
-185.30000000000084,24.8370,0.4272
-185.20000000000084,24.8797,0.4272
-185.10000000000085,24.9224,0.4271
-185.00000000000085,24.9651,0.4271
-184.90000000000086,25.0078,0.4271
-184.80000000000086,25.0505,0.4270
-184.70000000000087,25.0932,0.4270
-184.60000000000088,25.1359,0.4270
-184.50000000000088,25.1786,0.4269
-184.4000000000009,25.2213,0.4269
-184.3000000000009,25.2640,0.4269
-184.2000000000009,25.3067,0.4268
-184.1000000000009,25.3494,0.4268
-184.0000000000009,25.3920,0.4268
-183.90000000000092,25.4347,0.4267
-183.80000000000092,25.4774,0.4267
-183.70000000000093,25.5201,0.4267
-183.60000000000093,25.5627,0.4266
-183.50000000000094,25.6054,0.4266
-183.40000000000094,25.6480,0.4266
-183.30000000000095,25.6907,0.4265
-183.20000000000095,25.7333,0.4265
-183.10000000000096,25.7760,0.4265
-183.00000000000097,25.8186,0.4264
-182.90000000000097,25.8613,0.4264
-182.80000000000098,25.9039,0.4264
-182.70000000000098,25.9465,0.4263
-182.600000000001,25.9892,0.4263
-182.500000000001,26.0318,0.4263
-182.400000000001,26.0744,0.4262
-182.300000000001,26.1171,0.4262
-182.200000000001,26.1597,0.4262
-182.10000000000102,26.2023,0.4261
-182.00000000000102,26.2449,0.4261
-181.90000000000103,26.2875,0.4261
-181.80000000000103,26.3301,0.4260
-181.70000000000104,26.3727,0.4260
-181.60000000000105,26.4153,0.4260
-181.50000000000105,26.4579,0.4259
-181.40000000000106,26.5005,0.4259
-181.30000000000106,26.5431,0.4259
-181.20000000000107,26.5857,0.4258
-181.10000000000107,26.6282,0.4258
-181.00000000000108,26.6708,0.4258
-180.90000000000109,26.7134,0.4257
-180.8000000000011,26.7560,0.4257
-180.7000000000011,26.7985,0.4257
-180.6000000000011,26.8411,0.4256
-180.5000000000011,26.8837,0.4256
-180.4000000000011,26.9262,0.4256
-180.30000000000112,26.9688,0.4255
-180.20000000000113,27.0113,0.4255
-180.10000000000113,27.0539,0.4255
-180.00000000000114,27.0964,0.4254
-179.90000000000114,27.1390,0.4254
-179.80000000000115,27.1815,0.4254
-179.70000000000115,27.2241,0.4253
-179.60000000000116,27.2666,0.4253
-179.50000000000117,27.3091,0.4253
-179.40000000000117,27.3516,0.4253
-179.30000000000118,27.3942,0.4252
-179.20000000000118,27.4367,0.4252
-179.1000000000012,27.4792,0.4252
-179.0000000000012,27.5217,0.4251
-178.9000000000012,27.5642,0.4251
-178.8000000000012,27.6067,0.4251
-178.7000000000012,27.6492,0.4250
-178.60000000000122,27.6917,0.4250
-178.50000000000122,27.7342,0.4250
-178.40000000000123,27.7767,0.4249
